,Unnamed: 0,z1,z2,z3,z4,z5,z6,z7,z8,z9
37,37,-47.987934,-10.151858,-10.754891,-0.39937556,-5.95345,-9.417618,-9.667185,-8.103171,-4.679377
38,38,-47.980377,-10.150248,-10.753371,-0.3990936,-5.952406,-9.416313,-9.665644,-8.101929,-4.678376
39,39,-47.972836,-10.148639,-10.751853,-0.39881155,-5.951365,-9.415013,-9.664106,-8.100688,-4.677377
40,40,-47.965267,-10.147029,-10.750334,-0.39853126,-5.9503226,-9.413709,-9.662563,-8.099443,-4.676377
41,41,-47.95773,-10.145419,-10.748817,-0.39824966,-5.949279,-9.412408,-9.661024,-8.098203,-4.6753764
42,42,-47.950195,-10.143812,-10.747301,-0.39796862,-5.9482374,-9.411105,-9.659487,-8.096963,-4.6743765
43,43,-47.942627,-10.1422,-10.74578,-0.39768976,-5.947192,-9.409802,-9.657943,-8.095718,-4.6733756
44,44,-47.935097,-10.140593,-10.744265,-0.39740637,-5.9461503,-9.408503,-9.6564045,-8.09448,-4.6723747
45,45,-47.92754,-10.138983,-10.742744,-0.39712626,-5.9451065,-9.407201,-9.654863,-8.093237,-4.6713743
46,46,-47.919983,-10.137375,-10.741227,-0.39684707,-5.944063,-9.405901,-9.653324,-8.091995,-4.6703734
47,47,-47.9124,-10.135763,-10.739706,-0.3965682,-5.94302,-9.404596,-9.651777,-8.090751,-4.6693707
48,48,-47.90487,-10.134154,-10.738191,-0.3962891,-5.941978,-9.403296,-9.650239,-8.089511,-4.668371
49,49,-47.89729,-10.132544,-10.7366705,-0.39601183,-5.940932,-9.401994,-9.648694,-8.088266,-4.66737
50,50,-47.889744,-10.130935,-10.735155,-0.39573228,-5.939888,-9.400694,-9.647152,-8.087026,-4.6663704
51,51,-47.882153,-10.129324,-10.733633,-0.39545506,-5.9388447,-9.399391,-9.645606,-8.085782,-4.665368
52,52,-47.87461,-10.127714,-10.732117,-0.39517713,-5.937801,-9.398091,-9.644066,-8.084541,-4.664368
53,53,-47.867004,-10.126101,-10.730596,-0.3949019,-5.936756,-9.396789,-9.642518,-8.083297,-4.6633663
54,54,-47.859455,-10.124493,-10.72908,-0.39462253,-5.9357123,-9.39549,-9.640977,-8.082055,-4.662366
55,55,-47.851864,-10.122883,-10.727562,-0.39434537,-5.934667,-9.394189,-9.63943,-8.080812,-4.6613626
56,56,-47.844315,-10.121275,-10.726045,-0.39406782,-5.9336257,-9.392889,-9.63789,-8.079572,-4.6603637
57,57,-47.83674,-10.119663,-10.724527,-0.39379144,-5.932581,-9.39159,-9.636343,-8.078331,-4.659362
58,58,-47.82916,-10.118056,-10.723011,-0.3935144,-5.9315357,-9.390289,-9.634799,-8.077087,-4.6583605
59,59,-47.821594,-10.116445,-10.72149,-0.39324132,-5.9304924,-9.3889885,-9.633254,-8.075846,-4.657358
60,60,-47.814007,-10.114833,-10.719971,-0.39296582,-5.9294457,-9.387686,-9.631705,-8.074601,-4.6563587
61,61,-47.806396,-10.113221,-10.718452,-0.3926895,-5.928401,-9.386387,-9.630157,-8.073359,-4.655354
62,62,-47.798836,-10.111614,-10.716936,-0.39241436,-5.9273562,-9.385089,-9.628613,-8.072119,-4.6543527
63,63,-47.79124,-10.110002,-10.715415,-0.392141,-5.926313,-9.383788,-9.627066,-8.070875,-4.653351
64,64,-47.783653,-10.108391,-10.713896,-0.3918652,-5.9252677,-9.382489,-9.625519,-8.069632,-4.652349
65,65,-47.776047,-10.106779,-10.712377,-0.3915922,-5.9242215,-9.381187,-9.623966,-8.068388,-4.651346
66,66,-47.76847,-10.105171,-10.710863,-0.3913181,-5.923176,-9.3798895,-9.62242,-8.067146,-4.6503463
67,67,-47.760868,-10.10356,-10.709339,-0.39104527,-5.9221296,-9.37859,-9.620871,-8.065903,-4.649341
68,68,-47.75328,-10.101949,-10.707824,-0.39076948,-5.9210854,-9.377292,-9.619325,-8.064661,-4.64834
69,69,-47.745674,-10.100339,-10.706305,-0.39049843,-5.92004,-9.375993,-9.617774,-8.063417,-4.647338
70,70,-47.738083,-10.098728,-10.704787,-0.3902261,-5.918997,-9.374693,-9.616225,-8.062177,-4.646336
71,71,-47.730476,-10.097117,-10.703267,-0.3899545,-5.91795,-9.373393,-9.6146755,-8.060933,-4.645335
72,72,-47.722862,-10.095507,-10.701749,-0.38968435,-5.9169054,-9.372092,-9.613124,-8.0596895,-4.6443315
73,73,-47.71526,-10.093897,-10.7002325,-0.38941067,-5.9158597,-9.370797,-9.611574,-8.058446,-4.64333
74,74,-47.707657,-10.092284,-10.698713,-0.38913953,-5.9148126,-9.369497,-9.610022,-8.057202,-4.642326
75,75,-47.700058,-10.090675,-10.697194,-0.38886845,-5.913769,-9.368199,-9.608472,-8.055961,-4.6413236
76,76,-47.692436,-10.089063,-10.695675,-0.38859716,-5.912723,-9.3668995,-9.606921,-8.054717,-4.6403213
77,77,-47.684822,-10.087453,-10.694156,-0.38832545,-5.9116755,-9.365602,-9.605367,-8.053473,-4.639318
78,78,-47.677223,-10.085841,-10.692638,-0.38805503,-5.910631,-9.364302,-9.603817,-8.052231,-4.638316
79,79,-47.669594,-10.0842285,-10.691117,-0.38778657,-5.9095836,-9.363003,-9.602264,-8.050985,-4.637312
80,80,-47.661983,-10.08262,-10.689601,-0.38751766,-5.9085383,-9.361709,-9.600712,-8.049745,-4.636309
81,81,-47.654366,-10.081009,-10.688083,-0.38724726,-5.9074936,-9.360412,-9.59916,-8.048501,-4.6353073
82,82,-47.646748,-10.079397,-10.686564,-0.3869764,-5.906447,-9.359112,-9.597606,-8.047258,-4.634305
83,83,-47.63911,-10.077787,-10.685044,-0.38670984,-5.905399,-9.357811,-9.596051,-8.046014,-4.6332994
84,84,-47.631485,-10.076175,-10.683528,-0.38643956,-5.9043527,-9.356515,-9.594496,-8.044769,-4.6322985
85,85,-47.623863,-10.074564,-10.682008,-0.38617218,-5.903307,-9.355217,-9.592943,-8.043528,-4.6312947
86,86,-47.61623,-10.072952,-10.680488,-0.38590723,-5.90226,-9.353918,-9.591386,-8.042282,-4.630292
87,87,-47.60859,-10.071341,-10.678967,-0.3856404,-5.9012113,-9.352617,-9.58983,-8.041038,-4.6292872
88,88,-47.600956,-10.069728,-10.677449,-0.3853717,-5.900166,-9.351323,-9.588275,-8.039795,-4.6282845
89,89,-47.59332,-10.068115,-10.67593,-0.38510376,-5.899118,-9.350024,-9.586718,-8.038549,-4.627282
90,90,-47.58567,-10.066504,-10.674408,-0.3848385,-5.8980722,-9.348725,-9.585161,-8.037304,-4.626276
91,91,-47.57804,-10.064895,-10.672894,-0.3845732,-5.897026,-9.34743,-9.583605,-8.036062,-4.625275
92,92,-47.5704,-10.063282,-10.671371,-0.38430715,-5.895978,-9.34613,-9.582047,-8.034817,-4.62427
93,93,-47.56275,-10.061669,-10.669851,-0.3840426,-5.894931,-9.344832,-9.580489,-8.033572,-4.623265
94,94,-47.55511,-10.060058,-10.668333,-0.383776,-5.893885,-9.3435335,-9.578932,-8.032329,-4.622262
95,95,-47.547447,-10.058447,-10.666812,-0.38351274,-5.8928356,-9.3422365,-9.5773735,-8.031083,-4.6212587
96,96,-47.539806,-10.056835,-10.665295,-0.38324675,-5.8917904,-9.34094,-9.575816,-8.0298395,-4.6202536
97,97,-47.53216,-10.055222,-10.6637745,-0.38298264,-5.8907423,-9.339644,-9.574258,-8.028594,-4.6192517
98,98,-47.52451,-10.053612,-10.662255,-0.38271704,-5.889695,-9.338347,-9.572697,-8.027351,-4.618247
99,99,-47.516853,-10.052,-10.660737,-0.38245288,-5.8886476,-9.337052,-9.571137,-8.026106,-4.6172433
100,100,-47.50916,-10.0503845,-10.659213,-0.38219216,-5.887598,-9.335751,-9.569574,-8.024857,-4.616237
101,101,-47.501526,-10.048777,-10.657698,-0.38192704,-5.8865533,-9.334456,-9.568016,-8.023616,-4.6152344
102,102,-47.49385,-10.047161,-10.656174,-0.38166478,-5.8855047,-9.333158,-9.566454,-8.022368,-4.61423
103,103,-47.48621,-10.045552,-10.65466,-0.38140032,-5.8844576,-9.331866,-9.564897,-8.021126,-4.6132264
104,104,-47.47852,-10.043938,-10.653136,-0.381141,-5.8834105,-9.3305645,-9.563333,-8.019877,-4.61222
105,105,-47.470856,-10.042327,-10.651618,-0.38087684,-5.8823624,-9.329268,-9.56177,-8.018635,-4.611215
106,106,-47.463192,-10.040716,-10.650099,-0.38061422,-5.8813143,-9.327975,-9.56021,-8.017389,-4.6102123
107,107,-47.455517,-10.039102,-10.648578,-0.38035402,-5.880267,-9.326675,-9.558646,-8.016144,-4.6092067
108,108,-47.447826,-10.037491,-10.64706,-0.3800921,-5.8792186,-9.32538,-9.557084,-8.014897,-4.608201
109,109,-47.440163,-10.035877,-10.64554,-0.3798315,-5.8781724,-9.324083,-9.555521,-8.013654,-4.6071963
110,110,-47.43249,-10.034264,-10.644018,-0.37957165,-5.877123,-9.322787,-9.553955,-8.012406,-4.606194
111,111,-47.42478,-10.032651,-10.642496,-0.37931344,-5.8760743,-9.321488,-9.552389,-8.011158,-4.6051874
112,112,-47.417126,-10.03104,-10.640978,-0.37905058,-5.875028,-9.320193,-9.550828,-8.009915,-4.6041827
113,113,-47.409416,-10.029426,-10.639455,-0.378792,-5.8739767,-9.318895,-9.54926,-8.008667,-4.603178
114,114,-47.401737,-10.027815,-10.637936,-0.37853247,-5.8729315,-9.317601,-9.547697,-8.0074215,-4.602173
115,115,-47.394047,-10.026201,-10.636417,-0.37827122,-5.8718815,-9.316304,-9.546128,-8.006176,-4.6011667
116,116,-47.386368,-10.024589,-10.634896,-0.37801525,-5.870834,-9.31501,-9.544565,-8.0049305,-4.600163
117,117,-47.37867,-10.022975,-10.633374,-0.37775695,-5.8697867,-9.313711,-9.542997,-8.003685,-4.599157
118,118,-47.370964,-10.021361,-10.631855,-0.37749898,-5.8687367,-9.312413,-9.541431,-8.002437,-4.5981493
119,119,-47.36328,-10.0197525,-10.630337,-0.37723947,-5.86769,-9.311123,-9.5398655,-8.001191,-4.5971465
120,120,-47.355564,-10.018137,-10.628814,-0.3769832,-5.8666406,-9.309824,-9.538296,-7.999943,-4.5961394
121,121,-47.347885,-10.016524,-10.627294,-0.37672415,-5.865594,-9.30853,-9.536732,-7.998698,-4.595136
122,122,-47.340137,-10.014909,-10.625771,-0.37647,-5.864543,-9.307231,-9.535159,-7.9974475,-4.594129
123,123,-47.332436,-10.013296,-10.6242485,-0.376213,-5.8634944,-9.305934,-9.533589,-7.996201,-4.5931225
124,124,-47.324738,-10.011684,-10.622729,-0.3759549,-5.862446,-9.304639,-9.532023,-7.9949555,-4.5921183
125,125,-47.317024,-10.010071,-10.62121,-0.375698,-5.861397,-9.303345,-9.530453,-7.993708,-4.591112
126,126,-47.3093,-10.008455,-10.619686,-0.3754439,-5.860348,-9.302048,-9.528881,-7.992459,-4.590105
127,127,-47.30156,-10.0068445,-10.618166,-0.37518805,-5.859298,-9.30075,-9.527311,-7.991211,-4.5890994
128,128,-47.29386,-10.00523,-10.616644,-0.3749327,-5.8582497,-9.299458,-9.525741,-7.9899645,-4.5880938
129,129,-47.286163,-10.003619,-10.615127,-0.374678,-5.857202,-9.2981615,-9.524173,-7.9887185,-4.5870886
130,130,-47.27843,-10.002005,-10.613602,-0.37442383,-5.856153,-9.296865,-9.5226,-7.9874697,-4.586082
131,131,-47.270706,-10.000391,-10.612082,-0.37417057,-5.8551035,-9.295571,-9.5210285,-7.986222,-4.585076
132,132,-47.262966,-9.998776,-10.610558,-0.37391672,-5.8540535,-9.294272,-9.519455,-7.9849715,-4.584069
133,133,-47.255257,-9.997165,-10.609037,-0.3736614,-5.8530054,-9.292977,-9.517883,-7.9837255,-4.583065
134,134,-47.247505,-9.995549,-10.607516,-0.37341058,-5.851956,-9.29168,-9.516309,-7.9824753,-4.582057
135,135,-47.239773,-9.993936,-10.605993,-0.3731579,-5.8509073,-9.290386,-9.514737,-7.981228,-4.581052
136,136,-47.23202,-9.99232,-10.604469,-0.37290534,-5.8498573,-9.289089,-9.51316,-7.979977,-4.5800443
137,137,-47.224274,-9.9907055,-10.602946,-0.37265196,-5.848807,-9.287792,-9.511584,-7.9787273,-4.5790358
138,138,-47.21656,-9.989096,-10.601427,-0.3723995,-5.8477592,-9.286499,-9.510013,-7.977482,-4.5780306
139,139,-47.208813,-9.987481,-10.599903,-0.37214664,-5.8467093,-9.285203,-9.50844,-7.9762325,-4.5770235
140,140,-47.201065,-9.985867,-10.598382,-0.3718968,-5.84566,-9.283909,-9.506862,-7.9749813,-4.5760164
141,141,-47.19331,-9.984253,-10.59686,-0.3716433,-5.8446116,-9.282613,-9.505287,-7.9737344,-4.575009
142,142,-47.18554,-9.9826355,-10.595336,-0.37139538,-5.8435607,-9.281314,-9.503709,-7.972482,-4.5740027
143,143,-47.17779,-9.981024,-10.593815,-0.37114388,-5.842512,-9.280021,-9.502133,-7.9712334,-4.572994
144,144,-47.170044,-9.979409,-10.592292,-0.3708929,-5.841463,-9.278726,-9.500556,-7.969983,-4.571988
145,145,-47.162273,-9.977794,-10.590769,-0.37064436,-5.840412,-9.277431,-9.498977,-7.968733,-4.570981
146,146,-47.15451,-9.97618,-10.589245,-0.37039423,-5.839363,-9.276133,-9.497399,-7.9674835,-4.5699754
147,147,-47.146755,-9.974567,-10.587725,-0.37014452,-5.8383136,-9.2748375,-9.495821,-7.9662333,-4.568967
148,148,-47.138992,-9.972952,-10.5862,-0.3698936,-5.837263,-9.273542,-9.494243,-7.9649825,-4.56796
149,149,-47.13122,-9.971337,-10.584676,-0.36964494,-5.836215,-9.272247,-9.492664,-7.9637327,-4.5669537
150,150,-47.12349,-9.969727,-10.583157,-0.3693974,-5.835166,-9.270954,-9.491089,-7.9624863,-4.565948
151,151,-47.115696,-9.96811,-10.581631,-0.36914903,-5.834116,-9.269657,-9.489508,-7.961233,-4.5649385
152,152,-47.107895,-9.966495,-10.580108,-0.3689025,-5.833065,-9.268359,-9.487924,-7.9599805,-4.563931
153,153,-47.100136,-9.964881,-10.578584,-0.36865494,-5.832016,-9.267063,-9.486346,-7.9587293,-4.562924
154,154,-47.09236,-9.963265,-10.577061,-0.3684078,-5.8309665,-9.26577,-9.484764,-7.95748,-4.5619173
155,155,-47.084568,-9.961652,-10.575538,-0.36816114,-5.8299174,-9.264472,-9.483184,-7.9562273,-4.5609093
156,156,-47.0768,-9.960037,-10.574015,-0.36791384,-5.828868,-9.263178,-9.481603,-7.954978,-4.5599036
157,157,-47.068993,-9.958422,-10.572489,-0.36766756,-5.8278165,-9.261882,-9.48002,-7.9537253,-4.5588927
158,158,-47.061222,-9.956807,-10.570967,-0.3674218,-5.826767,-9.260588,-9.478437,-7.952475,-4.557887
159,159,-47.053432,-9.955192,-10.569442,-0.36717716,-5.825717,-9.259291,-9.476853,-7.951221,-4.556879
160,160,-47.04563,-9.953577,-10.567918,-0.36693102,-5.824669,-9.257996,-9.475272,-7.949969,-4.55587
161,161,-47.037834,-9.9519615,-10.566394,-0.36668503,-5.8236165,-9.2567,-9.473686,-7.948717,-4.5548625
162,162,-47.030045,-9.950347,-10.564869,-0.36644024,-5.8225684,-9.255404,-9.472101,-7.947465,-4.553854
163,163,-47.022232,-9.948732,-10.563343,-0.36619458,-5.8215184,-9.254107,-9.470519,-7.946213,-4.552845
164,164,-47.01443,-9.947117,-10.561821,-0.3659511,-5.820468,-9.252814,-9.468934,-7.94496,-4.5518374
165,165,-47.006615,-9.945499,-10.560296,-0.36570743,-5.819418,-9.251519,-9.467345,-7.9437065,-4.550829
166,166,-46.998795,-9.943884,-10.55877,-0.36546415,-5.8183694,-9.250221,-9.46576,-7.9424524,-4.5498214
167,167,-46.991016,-9.942272,-10.557248,-0.36521944,-5.81732,-9.248928,-9.464174,-7.941201,-4.5488143
168,168,-46.983166,-9.940654,-10.555719,-0.36497974,-5.8162675,-9.247627,-9.462585,-7.9399467,-4.5478044
169,169,-46.975376,-9.939038,-10.554197,-0.36473504,-5.815219,-9.246336,-9.461001,-7.938694,-4.5467954
170,170,-46.96754,-9.937422,-10.552668,-0.36449394,-5.814168,-9.245037,-9.459411,-7.937439,-4.5457864
171,171,-46.959732,-9.935809,-10.551144,-0.3642502,-5.813119,-9.243744,-9.457825,-7.936187,-4.54478
172,172,-46.951897,-9.934192,-10.549619,-0.36400974,-5.812067,-9.242446,-9.456235,-7.9349313,-4.54377
173,173,-46.944065,-9.932575,-10.548091,-0.36376703,-5.8110175,-9.24115,-9.454643,-7.9336762,-4.5427604
174,174,-46.936234,-9.930958,-10.546564,-0.36352703,-5.8099685,-9.239851,-9.453055,-7.932421,-4.541753
175,175,-46.928413,-9.929345,-10.545041,-0.3632856,-5.808918,-9.238559,-9.4514675,-7.931167,-4.5407457
176,176,-46.92057,-9.92773,-10.543516,-0.3630432,-5.807868,-9.237261,-9.449877,-7.929913,-4.539736
177,177,-46.912735,-9.926112,-10.54199,-0.3628023,-5.8068175,-9.235968,-9.448287,-7.928658,-4.5387273
178,178,-46.904884,-9.924497,-10.540462,-0.36256436,-5.8057666,-9.234669,-9.446695,-7.9274015,-4.537718
179,179,-46.897057,-9.92288,-10.538937,-0.36232492,-5.8047175,-9.233374,-9.445105,-7.926147,-4.536709
180,180,-46.889206,-9.921264,-10.537408,-0.36208606,-5.8036666,-9.232077,-9.443511,-7.924891,-4.5356994
181,181,-46.88138,-9.919649,-10.535884,-0.36184505,-5.802618,-9.230782,-9.44192,-7.9236383,-4.5346913
182,182,-46.873512,-9.918033,-10.534358,-0.361605,-5.801567,-9.229487,-9.440328,-7.922382,-4.53368
183,183,-46.86565,-9.916416,-10.53283,-0.36136955,-5.8005157,-9.22819,-9.438733,-7.9211245,-4.5326715
184,184,-46.857803,-9.914799,-10.5313015,-0.3611298,-5.7994657,-9.226892,-9.4371395,-7.9198675,-4.5316634
185,185,-46.849964,-9.913184,-10.529777,-0.3608899,-5.798417,-9.225598,-9.435549,-7.9186134,-4.5306554
186,186,-46.842064,-9.911566,-10.528246,-0.36065397,-5.7973666,-9.2242985,-9.43395,-7.917353,-4.529644
187,187,-46.834236,-9.909949,-10.526718,-0.36041808,-5.7963166,-9.223003,-9.432356,-7.9160986,-4.528635
188,188,-46.826378,-9.908333,-10.525194,-0.36017907,-5.795268,-9.221708,-9.430765,-7.9148426,-4.527626
189,189,-46.81852,-9.906718,-10.523666,-0.3599426,-5.794217,-9.220411,-9.429169,-7.9135866,-4.526617
190,190,-46.81061,-9.905099,-10.522135,-0.35970786,-5.7931643,-9.219111,-9.427567,-7.912325,-4.5256076
191,191,-46.802753,-9.903485,-10.52061,-0.35947058,-5.7921157,-9.217818,-9.425974,-7.9110694,-4.524599
192,192,-46.794884,-9.901869,-10.519083,-0.35923475,-5.791067,-9.216521,-9.424377,-7.9098134,-4.523588
193,193,-46.787014,-9.900251,-10.517554,-0.3589986,-5.790017,-9.215224,-9.422777,-7.908554,-4.5225782
194,194,-46.779106,-9.898633,-10.516025,-0.3587626,-5.7889647,-9.213926,-9.421179,-7.9072933,-4.5215693
195,195,-46.77124,-9.897018,-10.514498,-0.3585305,-5.787916,-9.212629,-9.419583,-7.9060388,-4.5205593
196,196,-46.763332,-9.895397,-10.512965,-0.35829464,-5.7868657,-9.21133,-9.417981,-7.904777,-4.5195494
197,197,-46.755455,-9.893783,-10.511439,-0.35806027,-5.7858157,-9.210034,-9.416385,-7.903519,-4.518539
198,198,-46.747566,-9.892164,-10.50991,-0.3578257,-5.784765,-9.208736,-9.414785,-7.90226,-4.5175276
199,199,-46.739655,-9.890546,-10.508377,-0.35759306,-5.7837143,-9.207439,-9.413181,-7.9009986,-4.516519
200,200,-46.731762,-9.88893,-10.50685,-0.35735878,-5.7826643,-9.206143,-9.411583,-7.8997393,-4.5155067
201,201,-46.723873,-9.887312,-10.505321,-0.3571263,-5.781613,-9.204845,-9.409982,-7.8984804,-4.5144987
202,202,-46.71599,-9.885698,-10.503796,-0.35689083,-5.780566,-9.20355,-9.408383,-7.8972235,-4.5134907
203,203,-46.70807,-9.88408,-10.502263,-0.35665947,-5.779515,-9.2022505,-9.40678,-7.8959613,-4.5124784
204,204,-46.700138,-9.882462,-10.500732,-0.3564278,-5.778465,-9.200955,-9.405175,-7.894701,-4.511467
205,205,-46.692238,-9.880844,-10.499203,-0.3561945,-5.7774153,-9.199657,-9.403575,-7.893441,-4.510458
206,206,-46.68432,-9.879224,-10.497668,-0.3559639,-5.7763634,-9.198357,-9.401968,-7.892178,-4.5094485
207,207,-46.676407,-9.877607,-10.496141,-0.35573152,-5.775314,-9.19706,-9.400367,-7.890918,-4.508437
208,208,-46.668472,-9.875987,-10.49461,-0.355502,-5.7742615,-9.195761,-9.398759,-7.8896537,-4.507425
209,209,-46.660545,-9.874371,-10.493078,-0.3552701,-5.773213,-9.194464,-9.397156,-7.888393,-4.506415
210,210,-46.652653,-9.872754,-10.491549,-0.35504103,-5.7721643,-9.193165,-9.395552,-7.8871326,-4.505408
211,211,-46.644714,-9.871136,-10.490017,-0.3548117,-5.7711134,-9.191868,-9.393946,-7.885871,-4.5043945
212,212,-46.636765,-9.869517,-10.488486,-0.35457906,-5.7700644,-9.190569,-9.39234,-7.884608,-4.5033827
213,213,-46.628838,-9.867899,-10.486956,-0.35434836,-5.7690144,-9.189272,-9.390735,-7.883346,-4.502373
214,214,-46.620926,-9.866285,-10.485425,-0.35411897,-5.7679644,-9.187976,-9.38913,-7.882085,-4.501363
215,215,-46.612976,-9.864664,-10.483892,-0.3538901,-5.7669153,-9.186677,-9.387519,-7.8808203,-4.5003533
216,216,-46.60504,-9.863045,-10.482361,-0.35366118,-5.765866,-9.185379,-9.385912,-7.879558,-4.499343
217,217,-46.597088,-9.861427,-10.480828,-0.35343248,-5.764815,-9.184078,-9.384304,-7.8782945,-4.4983296
218,218,-46.58914,-9.859807,-10.479296,-0.3532056,-5.763764,-9.182779,-9.382694,-7.8770304,-4.49732
219,219,-46.581184,-9.85819,-10.477764,-0.3529777,-5.762714,-9.181481,-9.381084,-7.8757668,-4.4963074
220,220,-46.573227,-9.85657,-10.47623,-0.35275045,-5.7616644,-9.18018,-9.379477,-7.8745008,-4.4952974
221,221,-46.565277,-9.854952,-10.474701,-0.35252094,-5.7606144,-9.178882,-9.377866,-7.8732386,-4.494285
222,222,-46.55731,-9.853334,-10.473166,-0.35229415,-5.7595654,-9.177585,-9.376254,-7.871973,-4.4932737
223,223,-46.549377,-9.851716,-10.471634,-0.35206747,-5.7585173,-9.176285,-9.374647,-7.8707104,-4.4922647
224,224,-46.541374,-9.850096,-10.470098,-0.35184145,-5.757465,-9.174982,-9.373033,-7.869442,-4.4912515
225,225,-46.533424,-9.848479,-10.468567,-0.3516138,-5.756417,-9.173685,-9.371422,-7.868179,-4.4902406
226,226,-46.525444,-9.846859,-10.467033,-0.35138798,-5.7553663,-9.172385,-9.369807,-7.8669114,-4.48923
227,227,-46.517494,-9.845241,-10.465501,-0.35116366,-5.7543163,-9.171086,-9.368197,-7.8656487,-4.488218
228,228,-46.5095,-9.843621,-10.463966,-0.3509383,-5.7532673,-9.169788,-9.366583,-7.864381,-4.487206
229,229,-46.501526,-9.842003,-10.462433,-0.35071167,-5.7522182,-9.1684885,-9.364969,-7.863115,-4.4861965
